user_id,month,category,monthly_category_spending,total_expense,monthly_income,percentage_of_income,percentage_of_expenses
U0001,2018-01,Bills,33728.479999999996,84852.15,,,39.74970581181502
U0001,2018-01,Entertainment,541.6500000000001,84852.15,,,0.6383456400338708
U0001,2018-01,Food,925.1400000000001,84852.15,,,1.0902964745147885
U0001,2018-01,Groceries,4282.15,84852.15,,,5.04660164768954
U0001,2018-01,Insurance,40338.28,84852.15,,,47.5394907494978
U0001,2018-01,Miscellaneous,3374.32,84852.15,,,3.976705363387964
U0001,2018-01,Other,1348.43,84852.15,,,1.589152425719325
U0001,2018-01,Subscription,313.7,84852.15,,,0.36970188734168785
U0001,2018-02,Bills,55885.58,58713.68,,,95.18323498033168
U0001,2018-02,Entertainment,213.7,58713.68,,,0.3639696915608083
U0001,2018-02,Food,828.0,58713.68,,,1.410233526496721
U0001,2018-02,Groceries,1231.81,58713.68,,,2.0979948795578816
U0001,2018-02,Miscellaneous,401.39,58713.68,,,0.683639656039274
U0001,2018-02,Subscription,153.2,58713.68,,,0.26092726601364447
U0001,2018-03,Bills,15484.71,47682.07,,,32.4749114289711
U0001,2018-03,Entertainment,321.6,47682.07,,,0.6744673626795146
U0001,2018-03,Food,2138.4900000000002,47682.07,,,4.484893378160806
U0001,2018-03,Fuel,3436.81,47682.07,,,7.207761743565245
U0001,2018-03,Groceries,2397.96,47682.07,,,5.029060189710724
U0001,2018-03,Insurance,8303.95,47682.07,,,17.41524644378904
U0001,2018-03,Other,2535.96,47682.07,,,5.31847715503962
U0001,2018-03,Rent,12266.41,47682.07,,,25.725414186087136
U0001,2018-03,Shopping,629.02,47682.07,,,1.3191960835592917
U0001,2018-03,Subscription,167.16,47682.07,,,0.3505720284375238
U0001,2018-04,Bills,47241.92,53968.78,28930.95,163.29197623997828,87.53564560844251
U0001,2018-04,Entertainment,160.98,53968.78,28930.95,0.5564283233008249,0.2982835632007987
U0001,2018-04,Food,1310.26,53968.78,28930.95,4.528921449174673,2.4278110418653154
U0001,2018-04,Fuel,342.99,53968.78,28930.95,1.1855469661383398,0.6355340995293947
U0001,2018-04,Groceries,2687.7200000000003,53968.78,28930.95,9.290120096298256,4.980138517120454
U0001,2018-04,Miscellaneous,1581.3500000000001,53968.78,28930.95,5.465945639531367,2.9301199693600637
U0001,2018-04,Other,643.56,53968.78,28930.95,2.2244689510714304,1.1924672004814634
U0001,2018-05,Bills,16618.64,61198.59,,,27.155266158909868
U0001,2018-05,Entertainment,301.09,61198.59,,,0.4919884592112334
U0001,2018-05,Food,3105.23,61198.59,,,5.0740221302484265
U0001,2018-05,Fuel,6314.3,61198.59,,,10.317721372338807
U0001,2018-05,Groceries,7105.360000000001,61198.59,,,11.610332852439903
U0001,2018-05,Insurance,8182.16,61198.59,,,13.36985051452983
U0001,2018-05,Miscellaneous,4247.35,61198.59,,,6.94027427756097
U0001,2018-05,Shopping,15168.63,61198.59,,,24.7859141852778
U0001,2018-05,Subscription,155.83,61198.59,,,0.2546300494831662
U0001,2018-06,Bills,22564.43,95349.07,,,23.665076125021457
U0001,2018-06,Food,1120.58,95349.07,,,1.1752395697199773
U0001,2018-06,Fuel,14685.75,95349.07,,,15.402090445140157
U0001,2018-06,Groceries,4043.0,95349.07,,,4.240209159879588
U0001,2018-06,Insurance,8261.33,95349.07,,,8.664300553744257
U0001,2018-06,Other,1008.58,95349.07,,,1.0577764418677602
U0001,2018-06,Rent,43665.4,95349.07,,,45.7953077046268
U0001,2018-07,Bills,14314.02,43837.990000000005,,,32.65209011635798
U0001,2018-07,Entertainment,316.11,43837.990000000005,,,0.7210868928981461
U0001,2018-07,Food,596.63,43837.990000000005,,,1.3609884942261266
U0001,2018-07,Fuel,9760.8,43837.990000000005,,,22.26561938629029
U0001,2018-07,Groceries,1829.69,43837.990000000005,,,4.17375431674673
U0001,2018-07,Shopping,16709.43,43837.990000000005,,,38.116323307706395
U0001,2018-07,Subscription,311.31,43837.990000000005,,,0.7101374857743249
U0001,2018-08,Bills,48544.79,59606.98,,,81.4414519910252
U0001,2018-08,Food,1335.37,59606.98,,,2.240291321586834
U0001,2018-08,Fuel,4008.64,59606.98,,,6.725118434116273
U0001,2018-08,Miscellaneous,60.0,59606.98,,,0.10065935231075288
U0001,2018-08,Other,4396.030000000001,59606.98,,,7.37502554231065
U0001,2018-08,Shopping,1262.15,59606.98,,,2.117453358650279
U0001,2018-09,Bills,13144.06,46068.97,,,28.531265187825987
U0001,2018-09,Food,8275.74,46068.97,,,17.963805138252493
U0001,2018-09,Fuel,10742.2,46068.97,,,23.317647431666046
U0001,2018-09,Groceries,3443.5,46068.97,,,7.474662446327756
U0001,2018-09,Miscellaneous,6147.84,46068.97,,,13.34486097692221
U0001,2018-09,Other,607.8499999999999,46068.97,,,1.3194347518514087
U0001,2018-09,Shopping,3707.7799999999997,46068.97,,,8.048324067154095
U0001,2018-10,Bills,2898.24,53558.63,47321.64,6.124555277458684,5.411340805394014
U0001,2018-10,Food,2176.3999999999996,53558.63,47321.64,4.599164356941136,4.063584150677491
U0001,2018-10,Fuel,4678.31,53558.63,47321.64,9.886195829223164,8.73493216686088
U0001,2018-10,Groceries,6384.87,53558.63,47321.64,13.492495188247913,11.921272071372998
U0001,2018-10,Miscellaneous,1089.23,53558.63,47321.64,2.3017587725192956,2.033715201453062
U0001,2018-10,Rent,33955.28,53558.63,47321.64,71.75423336976486,63.39833561836813
U0001,2018-10,Shopping,2376.3,53558.63,47321.64,5.021592658242614,4.436819985873425
U0001,2018-11,Bills,14502.61,46496.68,,,31.190635546451922
U0001,2018-11,Food,5805.719999999999,46496.68,,,12.486310850581159
U0001,2018-11,Fuel,5947.549999999999,46496.68,,,12.791343381936086
U0001,2018-11,Groceries,9081.24,46496.68,,,19.53094285441455
U0001,2018-11,Insurance,8736.68,46496.68,,,18.789900698286417
U0001,2018-11,Miscellaneous,1010.6700000000001,46496.68,,,2.173639064122428
U0001,2018-11,Other,707.3299999999999,46496.68,,,1.5212483988104095
U0001,2018-11,Shopping,551.56,46496.68,,,1.1862352322789496
U0001,2018-11,Subscription,153.32,46496.68,,,0.3297439731180807
U0001,2018-12,Bills,18054.41,95111.19,,,18.98242467579262
U0001,2018-12,Food,532.74,95111.19,,,0.5601233671873941
U0001,2018-12,Fuel,7975.07,95111.19,,,8.384996549827628
U0001,2018-12,Groceries,9400.45,95111.19,,,9.883642503053531
U0001,2018-12,Insurance,40952.18,95111.19,,,43.05716288482985
U0001,2018-12,Miscellaneous,2506.09,95111.19,,,2.634905524786306
