user_id,month,category,monthly_category_spending,total_expense,monthly_income,total_income,total_savings,savings_rate,profile_monthly_income,profile_monthly_expense,income_for_budget,percentage_of_income,percentage_of_expenses,estimated_savings,estimated_savings_rate,category_spending_ratio,age,occupation,savings_goal,financial_goal,credit_score,total_debt,debt_to_income_ratio,expense_to_income_ratio,historical_category_avg,expense_capacity,base_category_budget,savings_adjustment_factor,adjusted_category_budget,recommended_budget
U0001,2018-01,Bills,33728.48,84852.15,,0.0,-84852.15,0.0,97700.0,59200.0,97700.0,34.52249744114637,39.74970581181503,12847.850000000006,13.150307062436037,0.3452249744114637,60,Accountant,23600.0,Higher Education,676,1131700.0,0.9652848857045376,0.8684969293756396,26740.37142857143,59200.0,26740.37142857143,0.9,24066.33428571429,24066.33
U0001,2018-01,Entertainment,541.6500000000001,84852.15,,0.0,-84852.15,0.0,97700.0,59200.0,97700.0,0.5544012282497442,0.6383456400338708,12847.850000000006,13.150307062436037,0.0055440122824974,60,Accountant,23600.0,Higher Education,676,1131700.0,0.9652848857045376,0.8684969293756396,568.99875,59200.0,568.99875,0.9,512.098875,512.1
U0001,2018-01,Food,925.14,84852.15,,0.0,-84852.15,0.0,97700.0,59200.0,97700.0,0.9469191402251792,1.0902964745147885,12847.850000000006,13.150307062436037,0.0094691914022517,60,Accountant,23600.0,Higher Education,676,1131700.0,0.9652848857045376,0.8684969293756396,2681.921904761905,59200.0,2681.921904761905,0.9,2413.7297142857146,2413.73
U0001,2018-01,Groceries,4282.15,84852.15,,0.0,-84852.15,0.0,97700.0,59200.0,97700.0,4.382958034800409,5.04660164768954,12847.850000000006,13.150307062436037,0.043829580348004,60,Accountant,23600.0,Higher Education,676,1131700.0,0.9652848857045376,0.8684969293756396,3655.6705,59200.0,3655.6705,0.9,3290.10345,3290.1
U0001,2018-01,Insurance,40338.28,84852.15,,0.0,-84852.15,0.0,97700.0,59200.0,97700.0,41.28790174002047,47.5394907494978,12847.850000000006,13.150307062436037,0.4128790174002047,60,Accountant,23600.0,Higher Education,676,1131700.0,0.9652848857045376,0.8684969293756396,17559.68375,59200.0,17559.68375,0.9,15803.715375,15803.72
U0001,2018-01,Miscellaneous,3374.32,84852.15,,0.0,-84852.15,0.0,97700.0,59200.0,97700.0,3.453756397134084,3.976705363387964,12847.850000000006,13.150307062436037,0.0345375639713408,60,Accountant,23600.0,Higher Education,676,1131700.0,0.9652848857045376,0.8684969293756396,3035.3214285714284,59200.0,3035.3214285714284,0.9,2731.7892857142856,2731.79
U0001,2018-01,Other,1348.43,84852.15,,0.0,-84852.15,0.0,97700.0,59200.0,97700.0,1.380174002047083,1.589152425719325,12847.850000000006,13.150307062436037,0.0138017400204708,60,Accountant,23600.0,Higher Education,676,1131700.0,0.9652848857045376,0.8684969293756396,1242.2238461538464,59200.0,1242.2238461538464,0.9,1118.0014615384619,1118.0
U0001,2018-01,Subscription,313.7,84852.15,,0.0,-84852.15,0.0,97700.0,59200.0,97700.0,0.3210849539406346,0.3697018873416878,12847.850000000006,13.150307062436037,0.0032108495394063,60,Accountant,23600.0,Higher Education,676,1131700.0,0.9652848857045376,0.8684969293756396,373.68857142857144,59200.0,373.68857142857144,0.9,336.3197142857143,336.32
U0001,2018-02,Bills,55885.58,58713.68,,0.0,-58713.68,0.0,97700.0,59200.0,97700.0,57.201207778915055,95.18323498033168,38986.32,39.90411463664279,0.5720120777891505,60,Accountant,23600.0,Higher Education,676,1131700.0,0.9652848857045376,0.6009588536335722,26740.37142857143,59200.0,26740.37142857143,0.9,24066.33428571429,24066.33
U0001,2018-02,Entertainment,213.7,58713.68,,0.0,-58713.68,0.0,97700.0,59200.0,97700.0,0.2187308085977481,0.3639696915608083,38986.32,39.90411463664279,0.0021873080859774,60,Accountant,23600.0,Higher Education,676,1131700.0,0.9652848857045376,0.6009588536335722,568.99875,59200.0,568.99875,0.9,512.098875,512.1
